Unnamed: 0,text,Emotion
0,i seriously hate one subject to death but now i feel reluctant to drop it,hate
1,im so full of life i feel appalled,neutral
2,i sit here to write i start to dig out my feelings and i think that i am afraid to accept the possibility that he might not make it,neutral
3,ive been really angry with r and i feel like an idiot for trusting him in the first place,anger
4,i feel suspicious if there is no one outside like the rapture has happened or something,neutral
5,i feel jealous becasue i wanted that kind of love the true connection between two souls and i wanted that,love
6,when a friend of mine keeps telling me morbid things that happened to his dog,neutral
7,i finally fell asleep feeling angry useless and still full of anxiety,worry
8,i feel a bit annoyed and antsy in a good way,neutral
9,i feel like i ve regained another vital part of my life which is living,neutral
10,i feel a bit like franz liebkind in the producers not many people know it but the fuhrer was a terrific dancer,neutral
11,i was feeling at the start didnt want to move much at all was really glad to experience this glimpse into the sort of vibrant energy i will gain through out the year,neutral
12,i was bitten by a dog,neutral
13,i do not always find myself feeling thankful but over the years i ve gathered a few tricks that allow me to feel grateful in the face of moments when the last thing i want to do is say thanks,neutral
14,i just try not to talk to anyone when i feel irritable like that,neutral
15,i feel like they hated me since then,hate
16,i dont know who wrote the following little note but this is how i feel today if u r offended by the following posting then you obviously have not lived long enough to be compromised on how you act or believe,neutral
17,i feel offended i choose to tell you guys how i feel because i treated you guys as friends and would want to put a stop to all these nonsense,neutral
18,i remember feeling as if i didn t belong and that i wasn t smart enough cool enough or even young enough,neutral
19,i feel like i have to redeem myself even though i think they realized why i was distraught and were ok with it,neutral
20,i hope that the next quote will be able to let my special someone knows what im feeling insecure about and understand that no matter how much i trust,neutral
21,i feel much better and without the help of ice,neutral
22,i am sitting here typing this and wondering where i belong feeling distracted feeling comfortable feeling misunderstood and hurt,relief
23,i still feel its a little shaky at times and can move into the slightly odd jades hair in particular seems prone to this but generally it works well with spencers writing,neutral
24,i stropped about for a bit feeling grumpy because i was missing out,neutral
25,i have a feeling i shall go mad,neutral
26,i am happpy when i get good results in the field of academics or athletics,neutral
27,i got the feeling brig is sincere and has a very strong desire to help others become successful both financially and also through building strengthening relationships through christianity,neutral
28,im feeling deeply overwhelmed by these ordinary tasks,neutral
29,i feel so grouchy and irritable when im sick,neutral
30,i feel my heart shaky all the time now,neutral
31,i expect and i feel content with that,happiness
32,i feel amused at the absurdity of it all,neutral
33,i end up getting unwanted attention from boys i want little to do with or ill be sort of starting something with a boy then find myself flirtiing with others in his presence or ill feel really insincere around boys that i do like,neutral
34,i just couldnt help feeling a little bit bitter towards his great big happy grin,happiness
35,i go back to my point about what an easy sell getting folk to feel really virtuous for not doing what they dont want to do anyway,neutral
36,im feeling a bit more sociable now although i dont think ill be able to express everything i want to say,neutral
37,i would feel joyful,fun
38,at a certain situation i felt myself neglected and undeservedly harmed,neutral
39,i felt good and feel fine today too,neutral
40,i looked at what had happened to us in two generations and looked at what hadn t happened to them in two or three and instead of feeling outraged by their history of aggression i felt privileged by it,anger
41,im feeling slightly optimistic,neutral
42,i feel and some is just a hateful of hollow yes i hear many smiths these days,empty
43,im still feeling indecisive im polling yall p,neutral
44,sometime back another girl who was in terms with my exboyfriend came to shout at me at twelve midnight it was because she thought i was still interested in the boy,neutral
45,id start feeling resentful that i lived in a part of the country where the sun stubbornly refuses to show itself after the end of september,neutral
46,i just feel so fucked up these days,neutral
47,i confess that i was feeling nervous as i made my way to the event venue,neutral
48,i was really worried that i would feel intimidated by monica but when we met that morning she was incredibly welcoming and made me feel relaxed straight away,neutral
49,i was sick with a cold amp not feeling well wondering if i would even be able to have the patience to go to whitleys month photo shoot,neutral
50,i feel like i have been a bit obnoxious in my picture posting,neutral
51,i feel morally outraged and furious more often than i d like,anger
52,i feel pissed my friend didnt offer me a soda,neutral
53,i feel our hearts are treading dangerous territory,neutral
54,i feel frightened by it all,neutral
55,i know it was not pleasant for her and i feel selfish saying it but i think i would have fallen apart if i had been there,neutral
56,i feel shafted or greedy,neutral
